,index,season,seasonNumber,series,episode,challengeType,outcomeType,rewardType,reward,chef
289,289,Masters Season 4,4,US Masters,6,Elimination,Individual,Money,10000.0,Chris Cosentino
290,290,Masters Season 4,4,US Masters,7,Quickfire,Individual,Money,5000.0,Kerry Heffernan
291,291,Masters Season 4,4,US Masters,7,Elimination,Individual,Money,10000.0,Lorena Garcia
292,292,Masters Season 4,4,US Masters,8,Quickfire,Team,Money,2500.0,Kerry Heffernan
293,293,Masters Season 4,4,US Masters,8,Quickfire,Team,Money,2500.0,Lorena Garcia
294,294,Masters Season 4,4,US Masters,8,Elimination,Individual,Money,10000.0,Chris Cosentino
295,295,Masters Season 4,4,US Masters,9,Quickfire,Individual,Money,5000.0,Chris Cosentino
296,296,Masters Season 4,4,US Masters,9,Elimination,Individual,Money,10000.0,Kerry Heffernan
297,297,World All Stars,20,US,2,Quickfire,Individual,Money,10000.0,May Phattanant Thongthong
298,298,Masters Season 5,5,US Masters,1,Elimination,Individual,Money,10000.0,Odette Fada
299,299,Masters Season 5,5,US Masters,2,Sudden Death Quickfire,Individual,Money,5000.0,Sue Zemanick
300,300,Masters Season 5,5,US Masters,2,Elimination,Individual,Money,10000.0,Sang Yoon
301,301,Masters Season 5,5,US Masters,3,Quickfire,Individual,Money,5000.0,Sang Yoon
302,302,Masters Season 5,5,US Masters,3,Elimination,Individual,Money,10000.0,Jennifer Jasinski
303,303,Masters Season 5,5,US Masters,4,Quickfire,Individual,Money,5000.0,Sang Yoon
304,304,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,Sue Zemanick
305,305,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,David Burke
306,306,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,Douglas Keane
307,307,Masters Season 5,5,US Masters,5,Elimination,Team,Money,10000.0,Sang Yoon
308,308,Masters Season 5,5,US Masters,6,Quickfire,Individual,Money,5000.0,Douglas Keane
309,309,Masters Season 5,5,US Masters,6,Elimination,Individual,Money,10000.0,Neal Fraser
310,310,Masters Season 5,5,US Masters,7,Quickfire,Individual,Money,5000.0,Douglas Keane
311,311,Masters Season 5,5,US Masters,7,Elimination,Team,Money,5000.0,Douglas Keane
312,312,Masters Season 5,5,US Masters,7,Elimination,Team,Money,5000.0,Jennifer Jasinski
313,313,Masters Season 5,5,US Masters,8,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
314,314,Masters Season 5,5,US Masters,8,Elimination,Individual,Money,10000.0,Jennifer Jasinski
315,315,Masters Season 5,5,US Masters,9,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
316,316,Masters Season 5,5,US Masters,9,Elimination,Individual,Money,10000.0,Bryan V.
317,317,World All Stars,20,US,5,Elimination,Individual,Prize,"$10,000 for a VRBO trip",Amar S.
318,318,World All Stars,20,US,6,Elimination,Team,Money,10000.0,Nicole Gomes
319,319,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Ali Ghzawi
320,320,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Tom Goetter
321,321,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Gabriel Rodriguez
322,322,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Ali Ghzawi
323,323,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Buddha
324,324,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Amar S.
325,325,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Sara B.
326,326,World All Stars,20,US,11,Quickfire,Individual,Money,10000.0,Buddha
327,327,World All Stars,20,US,13,Quickfire,Individual,Prize,"$10,000 giftcard from Delta",Ali Ghzawi
